coluna;valor;frequencia;pct
tracado_via;"Retorno Regulamentado;Reta;Interseção de Vias";167;0.0286
tracado_via;"Aclive;Interseção de Vias";165;0.0283
tracado_via;"Declive;Viaduto";165;0.0283
tracado_via;"Reta;Ponte;Em Obras";165;0.0283
tracado_via;"Desvio Temporário;Reta;Em Obras";164;0.0281
tracado_via;"Interseção de Vias;Retorno Regulamentado;Reta";162;0.0277
tracado_via;"Ponte;Curva";161;0.0276
tracado_via;"Declive;Rotatória";161;0.0276
tracado_via;"Reta;Interseção de Vias;Viaduto";161;0.0276
tracado_via;"Reta;Declive;Ponte";159;0.0272
tracado_via;"Declive;Curva;Ponte";158;0.0271
tracado_via;"Reta;Declive;Viaduto";158;0.0271
tracado_via;"Retorno Regulamentado;Interseção de Vias";156;0.0267
tracado_via;"Reta;Viaduto;Aclive";156;0.0267
tracado_via;"Declive;Interseção de Vias;Reta";155;0.0265
tracado_via;"Aclive;Em Obras;Reta";155;0.0265
tracado_via;"Declive;Reta;Interseção de Vias";152;0.026
tracado_via;"Aclive;Reta;Em Obras";144;0.0247
tracado_via;"Reta;Desvio Temporário;Em Obras";141;0.0241
tracado_via;"Aclive;Reta;Interseção de Vias";139;0.0238
tracado_via;"Aclive;Curva;Viaduto";139;0.0238
tracado_via;"Em Obras;Desvio Temporário;Reta";136;0.0233
tracado_via;"Reta;Em Obras;Aclive";136;0.0233
tracado_via;"Em Obras;Reta;Declive";134;0.0229
tracado_via;"Ponte;Curva;Declive";134;0.0229
tracado_via;"Desvio Temporário;Em Obras";133;0.0228
tracado_via;"Reta;Retorno Regulamentado;Interseção de Vias";132;0.0226
tracado_via;"Em Obras;Aclive";130;0.0223
tracado_via;"Em Obras;Desvio Temporário";129;0.0221
tracado_via;"Desvio Temporário;Reta";127;0.0217
tracado_via;"Reta;Aclive;Em Obras";126;0.0216
tracado_via;"Declive;Ponte;Reta";126;0.0216
tracado_via;"Reta;Interseção de Vias;Em Obras";125;0.0214
tracado_via;"Interseção de Vias;Reta;Em Obras";124;0.0212
tracado_via;"Em Obras;Interseção de Vias";123;0.0211
tracado_via;"Reta;Interseção de Vias;Aclive";123;0.0211
tracado_via;"Retorno Regulamentado;Interseção de Vias;Reta";123;0.0211
tracado_via;"Retorno Regulamentado;Reta;Declive";121;0.0207
tracado_via;"Interseção de Vias;Em Obras";120;0.0205
tracado_via;"Retorno Regulamentado;Reta;Aclive";119;0.0204
tracado_via;"Declive;Reta;Retorno Regulamentado";118;0.0202
tracado_via;"Reta;Em Obras;Aclive;Desvio Temporário";114;0.0195
tracado_via;"Aclive;Rotatória";113;0.0193
tracado_via;"Retorno Regulamentado;Declive";113;0.0193
tracado_via;"Reta;Declive;Retorno Regulamentado";111;0.019
tracado_via;"Interseção de Vias;Rotatória;Reta";107;0.0183
tracado_via;"Ponte;Declive;Curva";106;0.0182
tracado_via;"Interseção de Vias;Reta;Viaduto";106;0.0182
tracado_via;"Reta;Ponte;Declive";103;0.0176
tracado_via;"Rotatória;Retorno Regulamentado";101;0.0173
tracado_via;"Interseção de Vias;Reta;Retorno Regulamentado";100;0.0171
tracado_via;"Declive;Retorno Regulamentado";98;0.0168
tracado_via;"Declive;Em Obras";98;0.0168
tracado_via;"Interseção de Vias;Aclive;Reta";95;0.0163
tracado_via;"Retorno Regulamentado;Rotatória";92;0.0158
tracado_via;"Em Obras;Interseção de Vias;Reta";90;0.0154
tracado_via;"Interseção de Vias;Reta;Aclive";89;0.0152
tracado_via;"Ponte;Declive;Reta";87;0.0149
tracado_via;"Aclive;Viaduto;Reta";87;0.0149
tracado_via;"Declive;Reta;Ponte";86;0.0147
tracado_via;"Rotatória;Curva";86;0.0147
tracado_via;"Reta;Retorno Regulamentado;Aclive";85;0.0146
tracado_via;"Curva;Interseção de Vias;Rotatória";84;0.0144
tracado_via;"Curva;Aclive;Ponte";84;0.0144
tracado_via;"Aclive;Reta;Retorno Regulamentado";83;0.0142
tracado_via;"Curva;Aclive;Viaduto";83;0.0142
tracado_via;"Declive;Retorno Regulamentado;Reta";81;0.0139
tracado_via;"Interseção de Vias;Viaduto;Rotatória";80;0.0137
tracado_via;"Viaduto;Reta;Aclive";79;0.0135
tracado_via;"Em Obras;Declive;Reta";77;0.0132
tracado_via;"Retorno Regulamentado;Declive;Reta";76;0.013
tracado_via;"Viaduto;Aclive";74;0.0127
tracado_via;"Retorno Regulamentado;Aclive;Reta";73;0.0125
tracado_via;"Viaduto;Declive;Reta";72;0.0123
tracado_via;"Aclive;Reta;Ponte";72;0.0123
tracado_via;"Declive;Reta;Viaduto";72;0.0123
tracado_via;"Interseção de Vias;Declive;Reta;Em Obras";72;0.0123
tracado_via;"Reta;Em Obras;Interseção de Vias";70;0.012
tracado_via;"Curva;Declive;Retorno Regulamentado";69;0.0118
tracado_via;"Viaduto;Retorno Regulamentado";69;0.0118
tracado_via;"Declive;Interseção de Vias;Em Obras";69;0.0118
tracado_via;"Aclive;Retorno Regulamentado";68;0.0116
tracado_via;"Viaduto;Rotatória";68;0.0116
tracado_via;"Interseção de Vias;Curva;Declive";68;0.0116
tracado_via;"Viaduto;Aclive;Reta";67;0.0115
tracado_via;"Curva;Interseção de Vias;Declive";66;0.0113
tracado_via;"Reta;Aclive;Retorno Regulamentado";65;0.0111
tracado_via;"Curva;Retorno Regulamentado;Declive";65;0.0111
tracado_via;"Interseção de Vias;Viaduto;Reta";64;0.011
tracado_via;"Declive;Curva;Interseção de Vias";63;0.0108
tracado_via;"Interseção de Vias;Aclive;Curva";63;0.0108
tracado_via;"Retorno Regulamentado;Declive;Curva";61;0.0104
tracado_via;"Em Obras;Reta;Declive;Interseção de Vias";60;0.0103
tracado_via;"Reta;Declive;Desvio Temporário";60;0.0103
tracado_via;"Aclive;Interseção de Vias;Reta;Retorno Regulamentado";60;0.0103
tracado_via;"Desvio Temporário;Em Obras;Aclive";60;0.0103
tracado_via;"Rotatória;Reta;Interseção de Vias";59;0.0101
tracado_via;"Aclive;Curva;Interseção de Vias";58;0.0099
tracado_via;"Curva;Declive;Interseção de Vias";58;0.0099
tracado_via;"Aclive;Viaduto;Curva";58;0.0099
tracado_via;"Em Obras;Interseção de Vias;Rotatória";57;0.0098
tracado_via;"Ponte;Aclive;Reta";57;0.0098
tracado_via;"Retorno Regulamentado;Interseção de Vias;Curva";56;0.0096
tracado_via;"Em Obras;Aclive;Reta";54;0.0092
tracado_via;"Ponte;Em Obras;Reta";54;0.0092
tracado_via;"Retorno Regulamentado;Reta;Viaduto";54;0.0092
tracado_via;"Retorno Regulamentado;Reta;Rotatória";53;0.0091
tracado_via;"Curva;Declive;Viaduto";52;0.0089
tracado_via;"Curva;Desvio Temporário";52;0.0089
tracado_via;"Em Obras;Declive";52;0.0089
tracado_via;"Curva;Viaduto;Declive";52;0.0089
tracado_via;"Reta;Aclive;Ponte";51;0.0087
tracado_via;"Interseção de Vias;Declive;Rotatória";50;0.0086
tracado_via;"Rotatória;Interseção de Vias;Reta";49;0.0084
tracado_via;"Aclive;Em Obras";48;0.0082
tracado_via;"Rotatória;Aclive";48;0.0082
tracado_via;"Em Obras;Curva;Declive";48;0.0082
tracado_via;"Reta;Retorno Regulamentado;Túnel;Rotatória;Interseção de Vias";48;0.0082
tracado_via;"Reta;Interseção de Vias;Em Obras;Desvio Temporário";48;0.0082
tracado_via;"Reta;Desvio Temporário;Declive;Em Obras";48;0.0082
tracado_via;"Reta;Desvio Temporário;Ponte";48;0.0082
tracado_via;"Rotatória;Viaduto";46;0.0079
tracado_via;"Declive;Curva;Em Obras";46;0.0079
tracado_via;"Retorno Regulamentado;Curva;Viaduto";45;0.0077
tracado_via;"Ponte;Reta;Declive;Em Obras";45;0.0077
tracado_via;"Túnel;Interseção de Vias;Viaduto;Reta";45;0.0077
tracado_via;"Reta;Viaduto;Interseção de Vias";44;0.0075
tracado_via;"Curva;Aclive;Interseção de Vias";44;0.0075
tracado_via;"Em Obras;Reta;Aclive";43;0.0074
tracado_via;"Aclive;Reta;Rotatória";43;0.0074
tracado_via;"Interseção de Vias;Curva;Retorno Regulamentado";42;0.0072
tracado_via;Túnel;42;0.0072
tracado_via;"Rotatória;Declive";42;0.0072
tracado_via;"Viaduto;Reta;Declive";42;0.0072
tracado_via;"Reta;Rotatória;Interseção de Vias";42;0.0072
tracado_via;"Declive;Em Obras;Reta";41;0.007
tracado_via;"Reta;Ponte;Aclive";40;0.0068
tracado_via;"Interseção de Vias;Aclive";40;0.0068
tracado_via;"Reta;Ponte;Em Obras;Desvio Temporário";40;0.0068
tracado_via;"Aclive;Viaduto;Interseção de Vias";38;0.0065
tracado_via;"Curva;Viaduto;Interseção de Vias";38;0.0065
tracado_via;"Viaduto;Interseção de Vias;Rotatória";37;0.0063
tracado_via;"Aclive;Desvio Temporário;Ponte;Curva";36;0.0062
tracado_via;"Declive;Interseção de Vias;Retorno Regulamentado;Viaduto";36;0.0062
tracado_via;"Curva;Desvio Temporário;Em Obras";36;0.0062
tracado_via;"Aclive;Curva;Interseção de Vias;Em Obras";36;0.0062
tracado_via;"Desvio Temporário;Aclive;Curva";36;0.0062
tracado_via;"Interseção de Vias;Reta;Viaduto;Aclive";36;0.0062
tracado_via;"Em Obras;Curva;Aclive";36;0.0062
tracado_via;"Retorno Regulamentado;Curva;Declive";35;0.006
tracado_via;"Curva;Em Obras;Desvio Temporário";35;0.006
tracado_via;"Aclive;Curva;Retorno Regulamentado";35;0.006
tracado_via;"Rotatória;Em Obras";34;0.0058
tracado_via;"Retorno Regulamentado;Reta;Em Obras";34;0.0058
tracado_via;"Aclive;Curva;Em Obras";34;0.0058
tracado_via;"Retorno Regulamentado;Em Obras";34;0.0058
tracado_via;"Interseção de Vias;Em Obras;Reta";33;0.0057
tracado_via;"Declive;Viaduto;Curva";32;0.0055
tracado_via;"Em Obras;Reta;Rotatória";32;0.0055
tracado_via;"Interseção de Vias;Em Obras;Viaduto;Reta";32;0.0055
tracado_via;"Retorno Regulamentado;Rotatória;Interseção de Vias";32;0.0055
tracado_via;"Ponte;Reta;Aclive";32;0.0055
tracado_via;"Ponte;Aclive;Curva";32;0.0055
tracado_via;"Túnel;Curva";31;0.0053
tracado_via;"Retorno Regulamentado;Rotatória;Reta";31;0.0053
tracado_via;"Rotatória;Interseção de Vias;Curva";31;0.0053
tracado_via;"Declive;Curva;Retorno Regulamentado";31;0.0053
tracado_via;"Declive;Viaduto;Reta";30;0.0051
tracado_via;"Interseção de Vias;Declive;Em Obras";30;0.0051
tracado_via;"Curva;Rotatória;Aclive";30;0.0051
tracado_via;"Interseção de Vias;Rotatória;Curva";29;0.005
tracado_via;"Interseção de Vias;Reta;Rotatória;Aclive";28;0.0048
tracado_via;"Retorno Regulamentado;Reta;Interseção de Vias;Declive";28;0.0048
tracado_via;"Rotatória;Viaduto;Curva";28;0.0048
tracado_via;"Retorno Regulamentado;Reta;Rotatória;Interseção de Vias";28;0.0048
tracado_via;"Em Obras;Rotatória";27;0.0046
tracado_via;"Viaduto;Declive";27;0.0046
tracado_via;"Em Obras;Reta;Ponte";27;0.0046
tracado_via;"Ponte;Declive";27;0.0046
tracado_via;"Curva;Declive;Interseção de Vias;Viaduto";27;0.0046
tracado_via;"Aclive;Interseção de Vias;Curva";27;0.0046
tracado_via;"Em Obras;Desvio Temporário;Viaduto;Reta";27;0.0046
tracado_via;"Reta;Rotatória;Declive";27;0.0046
tracado_via;"Reta;Rotatória;Retorno Regulamentado";26;0.0045
tracado_via;"Interseção de Vias;Rotatória;Declive";26;0.0045
tracado_via;"Reta;Retorno Regulamentado;Declive";26;0.0045
tracado_via;"Aclive;Retorno Regulamentado;Reta";26;0.0045
tracado_via;"Reta;Em Obras;Rotatória";26;0.0045
tracado_via;"Curva;Declive;Rotatória";26;0.0045
tracado_via;"Reta;Túnel";26;0.0045
tracado_via;"Interseção de Vias;Retorno Regulamentado;Reta;Aclive";26;0.0045
tracado_via;"Viaduto;Curva;Declive";25;0.0043
tracado_via;"Interseção de Vias;Viaduto;Declive";25;0.0043
tracado_via;"Interseção de Vias;Retorno Regulamentado;Rotatória";25;0.0043
tracado_via;"Aclive;Interseção de Vias;Em Obras;Curva";24;0.0041
tracado_via;"Retorno Regulamentado;Viaduto";24;0.0041
tracado_via;"Desvio Temporário;Retorno Regulamentado;Reta;Em Obras;Interseção de Vias";24;0.0041
tracado_via;"Interseção de Vias;Retorno Regulamentado;Reta;Viaduto";24;0.0041
tracado_via;"Retorno Regulamentado;Aclive;Interseção de Vias";24;0.0041
tracado_via;"Retorno Regulamentado;Interseção de Vias;Reta;Túnel;Declive";24;0.0041
tracado_via;"Retorno Regulamentado;Interseção de Vias;Curva;Rotatória;Viaduto;Declive";24;0.0041
tracado_via;"Curva;Viaduto;Em Obras";24;0.0041
tracado_via;"Curva;Rotatória;Declive;Interseção de Vias";24;0.0041
tracado_via;"Reta;Viaduto;Em Obras;Declive";24;0.0041
tracado_via;"Reta;Desvio Temporário;Aclive;Em Obras";24;0.0041
tracado_via;"Aclive;Retorno Regulamentado;Curva";23;0.0039
tracado_via;"Declive;Interseção de Vias;Rotatória";22;0.0038
tracado_via;"Desvio Temporário;Curva";22;0.0038
tracado_via;"Em Obras;Retorno Regulamentado;Reta";22;0.0038
tracado_via;"Interseção de Vias;Ponte;Curva";22;0.0038
tracado_via;"Rotatória;Viaduto;Interseção de Vias";22;0.0038
tracado_via;"Rotatória;Retorno Regulamentado;Interseção de Vias";22;0.0038
tracado_via;"Retorno Regulamentado;Aclive;Curva";21;0.0036
tracado_via;"Curva;Interseção de Vias;Viaduto";21;0.0036
tracado_via;"Declive;Rotatória;Curva";21;0.0036
tracado_via;"Interseção de Vias;Rotatória;Viaduto";21;0.0036
tracado_via;"Desvio Temporário;Em Obras;Curva";20;0.0034
tracado_via;"Túnel;Reta;Declive";20;0.0034
tracado_via;"Em Obras;Desvio Temporário;Reta;Declive";20;0.0034
tracado_via;"Ponte;Aclive";20;0.0034
tracado_via;"Declive;Curva;Viaduto";20;0.0034
tracado_via;"Túnel;Reta";19;0.0033
tracado_via;"Em Obras;Reta;Interseção de Vias";19;0.0033
tracado_via;"Curva;Interseção de Vias;Retorno Regulamentado";19;0.0033
tracado_via;"Em Obras;Reta;Viaduto";19;0.0033
tracado_via;"Interseção de Vias;Rotatória;Desvio Temporário;Em Obras";18;0.0031
tracado_via;"Viaduto;Curva;Aclive";18;0.0031
tracado_via;"Rotatória;Reta;Aclive;Interseção de Vias;Retorno Regulamentado";18;0.0031
tracado_via;"Retorno Regulamentado;Curva;Interseção de Vias;Declive";18;0.0031
tracado_via;"Viaduto;Retorno Regulamentado;Interseção de Vias;Rotatória";18;0.0031
tracado_via;"Ponte;Curva;Aclive";18;0.0031
tracado_via;"Reta;Em Obras;Desvio Temporário;Declive";18;0.0031
tracado_via;"Reta;Desvio Temporário;Em Obras;Aclive";18;0.0031
tracado_via;"Declive;Curva;Interseção de Vias;Retorno Regulamentado";18;0.0031
tracado_via;"Reta;Viaduto;Interseção de Vias;Retorno Regulamentado;Rotatória;Em Obras";18;0.0031
tracado_via;"Interseção de Vias;Viaduto;Curva";17;0.0029
tracado_via;"Declive;Curva;Rotatória";17;0.0029
tracado_via;"Aclive;Rotatória;Interseção de Vias";17;0.0029
tracado_via;"Interseção de Vias;Curva;Rotatória";17;0.0029
tracado_via;"Aclive;Desvio Temporário;Em Obras;Reta";16;0.0027
tracado_via;"Reta;Declive;Retorno Regulamentado;Em Obras";16;0.0027
tracado_via;"Aclive;Interseção de Vias;Rotatória";16;0.0027
tracado_via;"Rotatória;Reta;Declive";16;0.0027
