fim_de_semana;Sem Vítimas;Com Vítimas Feridas;Com Vítimas Fatais;total_no_grupo;pct_Sem Vítimas;pct_Com Vítimas Feridas;pct_Com Vítimas Fatais;grupo_pequeno;pct_do_total_de_acidentes
Não;6948;39317;3239;49504;14.04;79.42;6.54;Não;68.26
Sim;4190;16864;1970;23024;18.2;73.25;8.56;Não;31.74
