original;canonico
"Interseção de Vias;Declive;Reta;Rotatória";"Declive;Interseção de Vias;Reta;Rotatória"
"Interseção de Vias;Rotatória;Reta;Declive";"Declive;Interseção de Vias;Reta;Rotatória"
"Declive;Interseção de Vias;Reta;Rotatória";"Declive;Interseção de Vias;Reta;Rotatória"
"Interseção de Vias;Túnel;Reta;Declive";"Declive;Interseção de Vias;Reta;Túnel"
"Declive;Reta;Viaduto;Interseção de Vias";"Declive;Interseção de Vias;Reta;Viaduto"
"Declive;Viaduto;Interseção de Vias;Reta";"Declive;Interseção de Vias;Reta;Viaduto"
"Reta;Interseção de Vias;Viaduto;Declive";"Declive;Interseção de Vias;Reta;Viaduto"
"Declive;Interseção de Vias;Viaduto;Reta";"Declive;Interseção de Vias;Reta;Viaduto"
"Reta;Viaduto;Interseção de Vias;Declive";"Declive;Interseção de Vias;Reta;Viaduto"
"Interseção de Vias;Declive;Reta;Viaduto";"Declive;Interseção de Vias;Reta;Viaduto"
"Declive;Interseção de Vias;Retorno Regulamentado";"Declive;Interseção de Vias;Retorno Regulamentado"
"Interseção de Vias;Retorno Regulamentado;Rotatória;Declive";"Declive;Interseção de Vias;Retorno Regulamentado;Rotatória"
"Retorno Regulamentado;Interseção de Vias;Viaduto;Rotatória;Declive";"Declive;Interseção de Vias;Retorno Regulamentado;Rotatória;Viaduto"
"Declive;Interseção de Vias;Retorno Regulamentado;Viaduto";"Declive;Interseção de Vias;Retorno Regulamentado;Viaduto"
"Rotatória;Interseção de Vias;Declive";"Declive;Interseção de Vias;Rotatória"
"Interseção de Vias;Declive;Rotatória";"Declive;Interseção de Vias;Rotatória"
"Declive;Interseção de Vias;Rotatória";"Declive;Interseção de Vias;Rotatória"
"Interseção de Vias;Rotatória;Declive";"Declive;Interseção de Vias;Rotatória"
"Declive;Rotatória;Interseção de Vias";"Declive;Interseção de Vias;Rotatória"
"Rotatória;Declive;Interseção de Vias";"Declive;Interseção de Vias;Rotatória"
"Interseção de Vias;Declive;Viaduto";"Declive;Interseção de Vias;Viaduto"
"Interseção de Vias;Viaduto;Declive";"Declive;Interseção de Vias;Viaduto"
"Declive;Interseção de Vias;Viaduto";"Declive;Interseção de Vias;Viaduto"
"Declive;Viaduto;Interseção de Vias";"Declive;Interseção de Vias;Viaduto"
"Ponte;Declive";"Declive;Ponte"
"Declive;Ponte";"Declive;Ponte"
"Ponte;Declive;Reta";"Declive;Ponte;Reta"
"Ponte;Reta;Declive";"Declive;Ponte;Reta"
"Reta;Declive;Ponte";"Declive;Ponte;Reta"
"Declive;Ponte;Reta";"Declive;Ponte;Reta"
"Declive;Reta;Ponte";"Declive;Ponte;Reta"
"Reta;Ponte;Declive";"Declive;Ponte;Reta"
"Reta;Declive";"Declive;Reta"
"Declive;Reta";"Declive;Reta"
"Declive;Reta;Retorno Regulamentado";"Declive;Reta;Retorno Regulamentado"
"Retorno Regulamentado;Declive;Reta";"Declive;Reta;Retorno Regulamentado"
"Reta;Declive;Retorno Regulamentado";"Declive;Reta;Retorno Regulamentado"
"Reta;Retorno Regulamentado;Declive";"Declive;Reta;Retorno Regulamentado"
"Retorno Regulamentado;Reta;Declive";"Declive;Reta;Retorno Regulamentado"
"Declive;Retorno Regulamentado;Reta";"Declive;Reta;Retorno Regulamentado"
"Rotatória;Reta;Retorno Regulamentado;Declive";"Declive;Reta;Retorno Regulamentado;Rotatória"
"Reta;Declive;Rotatória;Retorno Regulamentado";"Declive;Reta;Retorno Regulamentado;Rotatória"
"Declive;Rotatória;Reta";"Declive;Reta;Rotatória"
"Rotatória;Reta;Declive";"Declive;Reta;Rotatória"
"Reta;Rotatória;Declive";"Declive;Reta;Rotatória"
"Reta;Declive;Rotatória";"Declive;Reta;Rotatória"
"Declive;Reta;Túnel";"Declive;Reta;Túnel"
"Túnel;Reta;Declive";"Declive;Reta;Túnel"
"Declive;Reta;Viaduto";"Declive;Reta;Viaduto"
"Viaduto;Declive;Reta";"Declive;Reta;Viaduto"
"Reta;Declive;Viaduto";"Declive;Reta;Viaduto"
"Viaduto;Reta;Declive";"Declive;Reta;Viaduto"
"Declive;Viaduto;Reta";"Declive;Reta;Viaduto"
"Reta;Viaduto;Declive";"Declive;Reta;Viaduto"
"Declive;Retorno Regulamentado";"Declive;Retorno Regulamentado"
"Retorno Regulamentado;Declive";"Declive;Retorno Regulamentado"
"Declive;Viaduto;Retorno Regulamentado";"Declive;Retorno Regulamentado;Viaduto"
"Declive;Rotatória";"Declive;Rotatória"
"Rotatória;Declive";"Declive;Rotatória"
"Declive;Rotatória;Viaduto";"Declive;Rotatória;Viaduto"
"Declive;Viaduto;Rotatória";"Declive;Rotatória;Viaduto"
"Viaduto;Declive;Rotatória";"Declive;Rotatória;Viaduto"
"Viaduto;Declive";"Declive;Viaduto"
"Declive;Viaduto";"Declive;Viaduto"
Desvio Temporário;Desvio Temporário
"Desvio Temporário;Em Obras";"Desvio Temporário;Em Obras"
"Em Obras;Desvio Temporário";"Desvio Temporário;Em Obras"
"Em Obras;Interseção de Vias;Desvio Temporário";"Desvio Temporário;Em Obras;Interseção de Vias"
"Reta;Interseção de Vias;Em Obras;Desvio Temporário";"Desvio Temporário;Em Obras;Interseção de Vias;Reta"
"Reta;Em Obras;Desvio Temporário;Interseção de Vias";"Desvio Temporário;Em Obras;Interseção de Vias;Reta"
"Interseção de Vias;Desvio Temporário;Em Obras;Reta";"Desvio Temporário;Em Obras;Interseção de Vias;Reta"
"Em Obras;Reta;Desvio Temporário;Interseção de Vias";"Desvio Temporário;Em Obras;Interseção de Vias;Reta"
"Reta;Interseção de Vias;Desvio Temporário;Em Obras";"Desvio Temporário;Em Obras;Interseção de Vias;Reta"
"Retorno Regulamentado;Interseção de Vias;Desvio Temporário;Em Obras;Reta";"Desvio Temporário;Em Obras;Interseção de Vias;Reta;Retorno Regulamentado"
"Desvio Temporário;Retorno Regulamentado;Reta;Em Obras;Interseção de Vias";"Desvio Temporário;Em Obras;Interseção de Vias;Reta;Retorno Regulamentado"
"Desvio Temporário;Em Obras;Reta;Interseção de Vias;Retorno Regulamentado;Rotatória";"Desvio Temporário;Em Obras;Interseção de Vias;Reta;Retorno Regulamentado;Rotatória"
"Interseção de Vias;Rotatória;Desvio Temporário;Em Obras";"Desvio Temporário;Em Obras;Interseção de Vias;Rotatória"
"Em Obras;Desvio Temporário;Rotatória;Interseção de Vias;Viaduto";"Desvio Temporário;Em Obras;Interseção de Vias;Rotatória;Viaduto"
"Ponte;Desvio Temporário;Em Obras";"Desvio Temporário;Em Obras;Ponte"
"Reta;Ponte;Em Obras;Desvio Temporário";"Desvio Temporário;Em Obras;Ponte;Reta"
"Em Obras;Reta;Desvio Temporário";"Desvio Temporário;Em Obras;Reta"
"Reta;Desvio Temporário;Em Obras";"Desvio Temporário;Em Obras;Reta"
"Desvio Temporário;Em Obras;Reta";"Desvio Temporário;Em Obras;Reta"
"Em Obras;Desvio Temporário;Reta";"Desvio Temporário;Em Obras;Reta"
"Desvio Temporário;Reta;Em Obras";"Desvio Temporário;Em Obras;Reta"
"Reta;Em Obras;Desvio Temporário";"Desvio Temporário;Em Obras;Reta"
"Rotatória;Desvio Temporário;Reta;Em Obras";"Desvio Temporário;Em Obras;Reta;Rotatória"
"Reta;Desvio Temporário;Túnel;Em Obras";"Desvio Temporário;Em Obras;Reta;Túnel"
"Em Obras;Reta;Desvio Temporário;Viaduto";"Desvio Temporário;Em Obras;Reta;Viaduto"
"Em Obras;Desvio Temporário;Viaduto;Reta";"Desvio Temporário;Em Obras;Reta;Viaduto"
"Em Obras;Desvio Temporário;Retorno Regulamentado";"Desvio Temporário;Em Obras;Retorno Regulamentado"
"Retorno Regulamentado;Desvio Temporário;Em Obras";"Desvio Temporário;Em Obras;Retorno Regulamentado"
"Desvio Temporário;Retorno Regulamentado;Em Obras";"Desvio Temporário;Em Obras;Retorno Regulamentado"
"Rotatória;Desvio Temporário;Em Obras";"Desvio Temporário;Em Obras;Rotatória"
"Desvio Temporário;Em Obras;Rotatória";"Desvio Temporário;Em Obras;Rotatória"
"Em Obras;Viaduto;Desvio Temporário";"Desvio Temporário;Em Obras;Viaduto"
"Desvio Temporário;Em Obras;Viaduto";"Desvio Temporário;Em Obras;Viaduto"
"Desvio Temporário;Interseção de Vias";"Desvio Temporário;Interseção de Vias"
"Interseção de Vias;Desvio Temporário";"Desvio Temporário;Interseção de Vias"
"Desvio Temporário;Reta;Interseção de Vias";"Desvio Temporário;Interseção de Vias;Reta"
"Reta;Interseção de Vias;Desvio Temporário";"Desvio Temporário;Interseção de Vias;Reta"
"Interseção de Vias;Rotatória;Desvio Temporário";"Desvio Temporário;Interseção de Vias;Rotatória"
"Reta;Desvio Temporário;Ponte";"Desvio Temporário;Ponte;Reta"
"Desvio Temporário;Reta";"Desvio Temporário;Reta"
"Reta;Desvio Temporário";"Desvio Temporário;Reta"
"Desvio Temporário;Reta;Retorno Regulamentado";"Desvio Temporário;Reta;Retorno Regulamentado"
"Rotatória;Desvio Temporário";"Desvio Temporário;Rotatória"
Em Obras;Em Obras
"Em Obras;Interseção de Vias";"Em Obras;Interseção de Vias"
"Interseção de Vias;Em Obras";"Em Obras;Interseção de Vias"
"Em Obras;Interseção de Vias;Ponte";"Em Obras;Interseção de Vias;Ponte"
"Interseção de Vias;Em Obras;Reta;Ponte";"Em Obras;Interseção de Vias;Ponte;Reta"
"Viaduto;Interseção de Vias;Ponte;Reta;Em Obras";"Em Obras;Interseção de Vias;Ponte;Reta;Viaduto"
"Reta;Em Obras;Interseção de Vias";"Em Obras;Interseção de Vias;Reta"
"Reta;Interseção de Vias;Em Obras";"Em Obras;Interseção de Vias;Reta"
"Interseção de Vias;Reta;Em Obras";"Em Obras;Interseção de Vias;Reta"
"Interseção de Vias;Em Obras;Reta";"Em Obras;Interseção de Vias;Reta"
"Em Obras;Interseção de Vias;Reta";"Em Obras;Interseção de Vias;Reta"
"Em Obras;Reta;Interseção de Vias";"Em Obras;Interseção de Vias;Reta"
"Em Obras;Interseção de Vias;Retorno Regulamentado;Reta";"Em Obras;Interseção de Vias;Reta;Retorno Regulamentado"
"Retorno Regulamentado;Interseção de Vias;Em Obras;Reta";"Em Obras;Interseção de Vias;Reta;Retorno Regulamentado"
"Retorno Regulamentado;Reta;Interseção de Vias;Rotatória;Em Obras";"Em Obras;Interseção de Vias;Reta;Retorno Regulamentado;Rotatória"
"Reta;Viaduto;Interseção de Vias;Retorno Regulamentado;Rotatória;Em Obras";"Em Obras;Interseção de Vias;Reta;Retorno Regulamentado;Rotatória;Viaduto"
"Reta;Rotatória;Interseção de Vias;Em Obras";"Em Obras;Interseção de Vias;Reta;Rotatória"
"Em Obras;Interseção de Vias;Reta;Rotatória";"Em Obras;Interseção de Vias;Reta;Rotatória"
"Interseção de Vias;Em Obras;Viaduto;Reta";"Em Obras;Interseção de Vias;Reta;Viaduto"
"Rotatória;Interseção de Vias;Em Obras";"Em Obras;Interseção de Vias;Rotatória"
"Interseção de Vias;Rotatória;Em Obras";"Em Obras;Interseção de Vias;Rotatória"
"Em Obras;Interseção de Vias;Rotatória";"Em Obras;Interseção de Vias;Rotatória"
"Em Obras;Rotatória;Interseção de Vias;Viaduto";"Em Obras;Interseção de Vias;Rotatória;Viaduto"
"Interseção de Vias;Viaduto;Em Obras";"Em Obras;Interseção de Vias;Viaduto"
"Em Obras;Interseção de Vias;Viaduto";"Em Obras;Interseção de Vias;Viaduto"
"Interseção de Vias;Em Obras;Viaduto";"Em Obras;Interseção de Vias;Viaduto"
"Ponte;Em Obras";"Em Obras;Ponte"
"Reta;Em Obras;Ponte";"Em Obras;Ponte;Reta"
"Ponte;Em Obras;Reta";"Em Obras;Ponte;Reta"
"Em Obras;Reta;Ponte";"Em Obras;Ponte;Reta"
"Reta;Ponte;Em Obras";"Em Obras;Ponte;Reta"
"Ponte;Reta;Em Obras";"Em Obras;Ponte;Reta"
"Em Obras;Reta";"Em Obras;Reta"
"Reta;Em Obras";"Em Obras;Reta"
"Em Obras;Retorno Regulamentado;Reta";"Em Obras;Reta;Retorno Regulamentado"
"Retorno Regulamentado;Reta;Em Obras";"Em Obras;Reta;Retorno Regulamentado"
"Reta;Em Obras;Retorno Regulamentado";"Em Obras;Reta;Retorno Regulamentado"
"Em Obras;Reta;Rotatória";"Em Obras;Reta;Rotatória"
"Em Obras;Rotatória;Reta";"Em Obras;Reta;Rotatória"
"Reta;Em Obras;Rotatória";"Em Obras;Reta;Rotatória"
"Reta;Rotatória;Em Obras";"Em Obras;Reta;Rotatória"
"Em Obras;Túnel;Reta";"Em Obras;Reta;Túnel"
"Em Obras;Viaduto;Reta";"Em Obras;Reta;Viaduto"
"Reta;Viaduto;Em Obras";"Em Obras;Reta;Viaduto"
"Reta;Em Obras;Viaduto";"Em Obras;Reta;Viaduto"
"Em Obras;Reta;Viaduto";"Em Obras;Reta;Viaduto"
"Viaduto;Em Obras;Reta";"Em Obras;Reta;Viaduto"
"Retorno Regulamentado;Em Obras";"Em Obras;Retorno Regulamentado"
"Em Obras;Retorno Regulamentado";"Em Obras;Retorno Regulamentado"
"Em Obras;Rotatória";"Em Obras;Rotatória"
"Rotatória;Em Obras";"Em Obras;Rotatória"
"Em Obras;Viaduto;Rotatória";"Em Obras;Rotatória;Viaduto"
"Em Obras;Viaduto";"Em Obras;Viaduto"
Interseção de Vias;Interseção de Vias
"Reta;Ponte;Interseção de Vias";"Interseção de Vias;Ponte;Reta"
"Ponte;Interseção de Vias;Reta";"Interseção de Vias;Ponte;Reta"
"Reta;Interseção de Vias;Ponte";"Interseção de Vias;Ponte;Reta"
"Interseção de Vias;Reta;Ponte";"Interseção de Vias;Ponte;Reta"
"Interseção de Vias;Viaduto;Rotatória;Ponte";"Interseção de Vias;Ponte;Rotatória;Viaduto"
"Interseção de Vias;Reta";"Interseção de Vias;Reta"
"Reta;Interseção de Vias";"Interseção de Vias;Reta"
"Interseção de Vias;Reta;Retorno Regulamentado";"Interseção de Vias;Reta;Retorno Regulamentado"
"Retorno Regulamentado;Reta;Interseção de Vias";"Interseção de Vias;Reta;Retorno Regulamentado"
"Reta;Retorno Regulamentado;Interseção de Vias";"Interseção de Vias;Reta;Retorno Regulamentado"
"Retorno Regulamentado;Interseção de Vias;Reta";"Interseção de Vias;Reta;Retorno Regulamentado"
"Reta;Interseção de Vias;Retorno Regulamentado";"Interseção de Vias;Reta;Retorno Regulamentado"
"Interseção de Vias;Retorno Regulamentado;Reta";"Interseção de Vias;Reta;Retorno Regulamentado"
"Retorno Regulamentado;Interseção de Vias;Reta;Rotatória";"Interseção de Vias;Reta;Retorno Regulamentado;Rotatória"
"Reta;Retorno Regulamentado;Rotatória;Interseção de Vias";"Interseção de Vias;Reta;Retorno Regulamentado;Rotatória"
"Interseção de Vias;Retorno Regulamentado;Reta;Rotatória";"Interseção de Vias;Reta;Retorno Regulamentado;Rotatória"
"Reta;Interseção de Vias;Rotatória;Retorno Regulamentado";"Interseção de Vias;Reta;Retorno Regulamentado;Rotatória"
"Retorno Regulamentado;Rotatória;Reta;Interseção de Vias";"Interseção de Vias;Reta;Retorno Regulamentado;Rotatória"
"Retorno Regulamentado;Reta;Rotatória;Interseção de Vias";"Interseção de Vias;Reta;Retorno Regulamentado;Rotatória"
"Reta;Retorno Regulamentado;Túnel;Rotatória;Interseção de Vias";"Interseção de Vias;Reta;Retorno Regulamentado;Rotatória;Túnel"
"Interseção de Vias;Reta;Viaduto;Retorno Regulamentado";"Interseção de Vias;Reta;Retorno Regulamentado;Viaduto"
"Interseção de Vias;Retorno Regulamentado;Reta;Viaduto";"Interseção de Vias;Reta;Retorno Regulamentado;Viaduto"
"Retorno Regulamentado;Reta;Viaduto;Interseção de Vias";"Interseção de Vias;Reta;Retorno Regulamentado;Viaduto"
"Retorno Regulamentado;Interseção de Vias;Viaduto;Reta";"Interseção de Vias;Reta;Retorno Regulamentado;Viaduto"
"Reta;Rotatória;Interseção de Vias";"Interseção de Vias;Reta;Rotatória"
"Interseção de Vias;Rotatória;Reta";"Interseção de Vias;Reta;Rotatória"
"Reta;Interseção de Vias;Rotatória";"Interseção de Vias;Reta;Rotatória"
"Rotatória;Interseção de Vias;Reta";"Interseção de Vias;Reta;Rotatória"
"Interseção de Vias;Reta;Rotatória";"Interseção de Vias;Reta;Rotatória"
"Rotatória;Reta;Interseção de Vias";"Interseção de Vias;Reta;Rotatória"
"Interseção de Vias;Reta;Viaduto;Rotatória";"Interseção de Vias;Reta;Rotatória;Viaduto"
"Viaduto;Reta;Interseção de Vias;Rotatória";"Interseção de Vias;Reta;Rotatória;Viaduto"
"Reta;Interseção de Vias;Viaduto;Rotatória";"Interseção de Vias;Reta;Rotatória;Viaduto"
"Reta;Interseção de Vias;Rotatória;Viaduto";"Interseção de Vias;Reta;Rotatória;Viaduto"
"Reta;Interseção de Vias;Túnel";"Interseção de Vias;Reta;Túnel"
"Túnel;Interseção de Vias;Viaduto;Reta";"Interseção de Vias;Reta;Túnel;Viaduto"
"Reta;Viaduto;Interseção de Vias";"Interseção de Vias;Reta;Viaduto"
"Interseção de Vias;Reta;Viaduto";"Interseção de Vias;Reta;Viaduto"
"Viaduto;Interseção de Vias;Reta";"Interseção de Vias;Reta;Viaduto"
"Interseção de Vias;Viaduto;Reta";"Interseção de Vias;Reta;Viaduto"
"Reta;Interseção de Vias;Viaduto";"Interseção de Vias;Reta;Viaduto"
"Viaduto;Reta;Interseção de Vias";"Interseção de Vias;Reta;Viaduto"
"Interseção de Vias;Retorno Regulamentado";"Interseção de Vias;Retorno Regulamentado"
"Retorno Regulamentado;Interseção de Vias";"Interseção de Vias;Retorno Regulamentado"
"Retorno Regulamentado;Interseção de Vias;Rotatória";"Interseção de Vias;Retorno Regulamentado;Rotatória"
"Interseção de Vias;Rotatória;Retorno Regulamentado";"Interseção de Vias;Retorno Regulamentado;Rotatória"
"Rotatória;Retorno Regulamentado;Interseção de Vias";"Interseção de Vias;Retorno Regulamentado;Rotatória"
"Retorno Regulamentado;Rotatória;Interseção de Vias";"Interseção de Vias;Retorno Regulamentado;Rotatória"
"Interseção de Vias;Retorno Regulamentado;Rotatória";"Interseção de Vias;Retorno Regulamentado;Rotatória"
"Rotatória;Interseção de Vias;Viaduto;Retorno Regulamentado";"Interseção de Vias;Retorno Regulamentado;Rotatória;Viaduto"
"Viaduto;Retorno Regulamentado;Interseção de Vias;Rotatória";"Interseção de Vias;Retorno Regulamentado;Rotatória;Viaduto"
"Interseção de Vias;Rotatória;Viaduto;Retorno Regulamentado";"Interseção de Vias;Retorno Regulamentado;Rotatória;Viaduto"
"Retorno Regulamentado;Interseção de Vias;Viaduto";"Interseção de Vias;Retorno Regulamentado;Viaduto"
"Interseção de Vias;Retorno Regulamentado;Viaduto";"Interseção de Vias;Retorno Regulamentado;Viaduto"
"Viaduto;Retorno Regulamentado;Interseção de Vias";"Interseção de Vias;Retorno Regulamentado;Viaduto"
"Interseção de Vias;Viaduto;Retorno Regulamentado";"Interseção de Vias;Retorno Regulamentado;Viaduto"
"Interseção de Vias;Rotatória";"Interseção de Vias;Rotatória"
"Rotatória;Interseção de Vias";"Interseção de Vias;Rotatória"
"Rotatória;Viaduto;Interseção de Vias";"Interseção de Vias;Rotatória;Viaduto"
"Viaduto;Rotatória;Interseção de Vias";"Interseção de Vias;Rotatória;Viaduto"
"Interseção de Vias;Viaduto;Rotatória";"Interseção de Vias;Rotatória;Viaduto"
"Interseção de Vias;Rotatória;Viaduto";"Interseção de Vias;Rotatória;Viaduto"
"Rotatória;Interseção de Vias;Viaduto";"Interseção de Vias;Rotatória;Viaduto"
"Viaduto;Interseção de Vias;Rotatória";"Interseção de Vias;Rotatória;Viaduto"
"Túnel;Interseção de Vias;Viaduto";"Interseção de Vias;Túnel;Viaduto"
"Viaduto;Interseção de Vias";"Interseção de Vias;Viaduto"
"Interseção de Vias;Viaduto";"Interseção de Vias;Viaduto"
Ponte;Ponte
"Ponte;Reta";"Ponte;Reta"
"Reta;Ponte";"Ponte;Reta"
"Rotatória;Ponte";"Ponte;Rotatória"
"Ponte;Viaduto";"Ponte;Viaduto"
Reta;Reta
"Reta;Retorno Regulamentado";"Reta;Retorno Regulamentado"
"Retorno Regulamentado;Reta";"Reta;Retorno Regulamentado"
"Rotatória;Reta;Retorno Regulamentado";"Reta;Retorno Regulamentado;Rotatória"
"Retorno Regulamentado;Rotatória;Reta";"Reta;Retorno Regulamentado;Rotatória"
"Retorno Regulamentado;Reta;Rotatória";"Reta;Retorno Regulamentado;Rotatória"
"Reta;Rotatória;Retorno Regulamentado";"Reta;Retorno Regulamentado;Rotatória"
"Retorno Regulamentado;Viaduto;Reta";"Reta;Retorno Regulamentado;Viaduto"
"Reta;Retorno Regulamentado;Viaduto";"Reta;Retorno Regulamentado;Viaduto"
"Reta;Viaduto;Retorno Regulamentado";"Reta;Retorno Regulamentado;Viaduto"
"Retorno Regulamentado;Reta;Viaduto";"Reta;Retorno Regulamentado;Viaduto"
"Viaduto;Retorno Regulamentado;Reta";"Reta;Retorno Regulamentado;Viaduto"
"Reta;Rotatória";"Reta;Rotatória"
"Rotatória;Reta";"Reta;Rotatória"
"Reta;Rotatória;Viaduto";"Reta;Rotatória;Viaduto"
"Viaduto;Reta;Rotatória";"Reta;Rotatória;Viaduto"
"Túnel;Reta";"Reta;Túnel"
"Reta;Túnel";"Reta;Túnel"
"Viaduto;Reta";"Reta;Viaduto"
"Reta;Viaduto";"Reta;Viaduto"
Retorno Regulamentado;Retorno Regulamentado
"Rotatória;Retorno Regulamentado";"Retorno Regulamentado;Rotatória"
"Retorno Regulamentado;Rotatória";"Retorno Regulamentado;Rotatória"
"Rotatória;Retorno Regulamentado;Viaduto";"Retorno Regulamentado;Rotatória;Viaduto"
"Retorno Regulamentado;Rotatória;Viaduto";"Retorno Regulamentado;Rotatória;Viaduto"
"Viaduto;Rotatória;Retorno Regulamentado";"Retorno Regulamentado;Rotatória;Viaduto"
"Retorno Regulamentado;Viaduto;Rotatória";"Retorno Regulamentado;Rotatória;Viaduto"
"Viaduto;Retorno Regulamentado";"Retorno Regulamentado;Viaduto"
"Retorno Regulamentado;Viaduto";"Retorno Regulamentado;Viaduto"
Rotatória;Rotatória
"Viaduto;Rotatória";"Rotatória;Viaduto"
"Rotatória;Viaduto";"Rotatória;Viaduto"
Túnel;Túnel
Viaduto;Viaduto
