original;canonico
"Reta;Aclive;Em Obras;Viaduto";"Aclive;Em Obras;Reta;Viaduto"
"Retorno Regulamentado;Aclive;Em Obras";"Aclive;Em Obras;Retorno Regulamentado"
"Em Obras;Aclive;Rotatória";"Aclive;Em Obras;Rotatória"
"Aclive;Interseção de Vias";"Aclive;Interseção de Vias"
"Interseção de Vias;Aclive";"Aclive;Interseção de Vias"
"Aclive;Reta;Interseção de Vias";"Aclive;Interseção de Vias;Reta"
"Interseção de Vias;Aclive;Reta";"Aclive;Interseção de Vias;Reta"
"Aclive;Interseção de Vias;Reta";"Aclive;Interseção de Vias;Reta"
"Reta;Aclive;Interseção de Vias";"Aclive;Interseção de Vias;Reta"
"Interseção de Vias;Reta;Aclive";"Aclive;Interseção de Vias;Reta"
"Reta;Interseção de Vias;Aclive";"Aclive;Interseção de Vias;Reta"
"Aclive;Reta;Retorno Regulamentado;Interseção de Vias";"Aclive;Interseção de Vias;Reta;Retorno Regulamentado"
"Aclive;Interseção de Vias;Reta;Retorno Regulamentado";"Aclive;Interseção de Vias;Reta;Retorno Regulamentado"
"Aclive;Interseção de Vias;Retorno Regulamentado;Reta";"Aclive;Interseção de Vias;Reta;Retorno Regulamentado"
"Retorno Regulamentado;Interseção de Vias;Aclive;Reta";"Aclive;Interseção de Vias;Reta;Retorno Regulamentado"
"Reta;Aclive;Interseção de Vias;Retorno Regulamentado";"Aclive;Interseção de Vias;Reta;Retorno Regulamentado"
"Interseção de Vias;Retorno Regulamentado;Aclive;Reta";"Aclive;Interseção de Vias;Reta;Retorno Regulamentado"
"Interseção de Vias;Retorno Regulamentado;Reta;Aclive";"Aclive;Interseção de Vias;Reta;Retorno Regulamentado"
"Retorno Regulamentado;Reta;Interseção de Vias;Aclive";"Aclive;Interseção de Vias;Reta;Retorno Regulamentado"
"Retorno Regulamentado;Interseção de Vias;Aclive;Reta;Rotatória";"Aclive;Interseção de Vias;Reta;Retorno Regulamentado;Rotatória"
"Rotatória;Reta;Aclive;Interseção de Vias;Retorno Regulamentado";"Aclive;Interseção de Vias;Reta;Retorno Regulamentado;Rotatória"
"Rotatória;Reta;Interseção de Vias;Aclive";"Aclive;Interseção de Vias;Reta;Rotatória"
"Interseção de Vias;Reta;Rotatória;Aclive";"Aclive;Interseção de Vias;Reta;Rotatória"
"Reta;Aclive;Interseção de Vias;Rotatória";"Aclive;Interseção de Vias;Reta;Rotatória"
"Interseção de Vias;Aclive;Reta;Rotatória";"Aclive;Interseção de Vias;Reta;Rotatória"
"Interseção de Vias;Reta;Viaduto;Aclive";"Aclive;Interseção de Vias;Reta;Viaduto"
"Reta;Aclive;Interseção de Vias;Viaduto";"Aclive;Interseção de Vias;Reta;Viaduto"
"Interseção de Vias;Aclive;Viaduto;Reta";"Aclive;Interseção de Vias;Reta;Viaduto"
"Retorno Regulamentado;Aclive;Interseção de Vias";"Aclive;Interseção de Vias;Retorno Regulamentado"
"Retorno Regulamentado;Interseção de Vias;Aclive;Viaduto";"Aclive;Interseção de Vias;Retorno Regulamentado;Viaduto"
"Aclive;Interseção de Vias;Rotatória";"Aclive;Interseção de Vias;Rotatória"
"Interseção de Vias;Rotatória;Aclive";"Aclive;Interseção de Vias;Rotatória"
"Aclive;Rotatória;Interseção de Vias";"Aclive;Interseção de Vias;Rotatória"
"Aclive;Viaduto;Interseção de Vias";"Aclive;Interseção de Vias;Viaduto"
"Aclive;Interseção de Vias;Viaduto";"Aclive;Interseção de Vias;Viaduto"
"Ponte;Aclive";"Aclive;Ponte"
"Reta;Aclive;Ponte";"Aclive;Ponte;Reta"
"Ponte;Reta;Aclive";"Aclive;Ponte;Reta"
"Aclive;Reta;Ponte";"Aclive;Ponte;Reta"
"Reta;Ponte;Aclive";"Aclive;Ponte;Reta"
"Aclive;Ponte;Reta";"Aclive;Ponte;Reta"
"Ponte;Aclive;Reta";"Aclive;Ponte;Reta"
"Aclive;Reta";"Aclive;Reta"
"Reta;Aclive";"Aclive;Reta"
"Retorno Regulamentado;Reta;Aclive";"Aclive;Reta;Retorno Regulamentado"
"Aclive;Retorno Regulamentado;Reta";"Aclive;Reta;Retorno Regulamentado"
"Retorno Regulamentado;Aclive;Reta";"Aclive;Reta;Retorno Regulamentado"
"Reta;Retorno Regulamentado;Aclive";"Aclive;Reta;Retorno Regulamentado"
"Reta;Aclive;Retorno Regulamentado";"Aclive;Reta;Retorno Regulamentado"
"Aclive;Reta;Retorno Regulamentado";"Aclive;Reta;Retorno Regulamentado"
"Reta;Retorno Regulamentado;Aclive;Rotatória";"Aclive;Reta;Retorno Regulamentado;Rotatória"
"Retorno Regulamentado;Rotatória;Aclive;Reta";"Aclive;Reta;Retorno Regulamentado;Rotatória"
"Reta;Aclive;Rotatória";"Aclive;Reta;Rotatória"
"Reta;Rotatória;Aclive";"Aclive;Reta;Rotatória"
"Aclive;Reta;Rotatória";"Aclive;Reta;Rotatória"
"Rotatória;Aclive;Reta";"Aclive;Reta;Rotatória"
"Túnel;Aclive;Reta";"Aclive;Reta;Túnel"
"Reta;Viaduto;Aclive";"Aclive;Reta;Viaduto"
"Aclive;Reta;Viaduto";"Aclive;Reta;Viaduto"
"Reta;Aclive;Viaduto";"Aclive;Reta;Viaduto"
"Aclive;Viaduto;Reta";"Aclive;Reta;Viaduto"
"Viaduto;Reta;Aclive";"Aclive;Reta;Viaduto"
"Viaduto;Aclive;Reta";"Aclive;Reta;Viaduto"
"Aclive;Retorno Regulamentado";"Aclive;Retorno Regulamentado"
"Retorno Regulamentado;Aclive";"Aclive;Retorno Regulamentado"
"Aclive;Rotatória";"Aclive;Rotatória"
"Rotatória;Aclive";"Aclive;Rotatória"
"Aclive;Viaduto";"Aclive;Viaduto"
"Viaduto;Aclive";"Aclive;Viaduto"
Curva;Curva
"Curva;Declive";"Curva;Declive"
"Declive;Curva";"Curva;Declive"
"Declive;Curva;Desvio Temporário";"Curva;Declive;Desvio Temporário"
"Desvio Temporário;Declive;Curva";"Curva;Declive;Desvio Temporário"
"Desvio Temporário;Em Obras;Declive;Curva";"Curva;Declive;Desvio Temporário;Em Obras"
"Declive;Curva;Em Obras";"Curva;Declive;Em Obras"
"Curva;Declive;Em Obras";"Curva;Declive;Em Obras"
"Em Obras;Curva;Declive";"Curva;Declive;Em Obras"
"Declive;Em Obras;Curva";"Curva;Declive;Em Obras"
"Em Obras;Declive;Curva";"Curva;Declive;Em Obras"
"Curva;Em Obras;Declive";"Curva;Declive;Em Obras"
"Curva;Em Obras;Viaduto;Declive";"Curva;Declive;Em Obras;Viaduto"
"Viaduto;Curva;Declive;Em Obras";"Curva;Declive;Em Obras;Viaduto"
"Interseção de Vias;Curva;Declive";"Curva;Declive;Interseção de Vias"
"Curva;Interseção de Vias;Declive";"Curva;Declive;Interseção de Vias"
"Interseção de Vias;Declive;Curva";"Curva;Declive;Interseção de Vias"
"Declive;Interseção de Vias;Curva";"Curva;Declive;Interseção de Vias"
"Curva;Declive;Interseção de Vias";"Curva;Declive;Interseção de Vias"
"Declive;Curva;Interseção de Vias";"Curva;Declive;Interseção de Vias"
"Interseção de Vias;Curva;Retorno Regulamentado;Declive";"Curva;Declive;Interseção de Vias;Retorno Regulamentado"
"Interseção de Vias;Retorno Regulamentado;Declive;Curva";"Curva;Declive;Interseção de Vias;Retorno Regulamentado"
"Retorno Regulamentado;Curva;Interseção de Vias;Declive";"Curva;Declive;Interseção de Vias;Retorno Regulamentado"
"Declive;Curva;Interseção de Vias;Retorno Regulamentado";"Curva;Declive;Interseção de Vias;Retorno Regulamentado"
"Retorno Regulamentado;Interseção de Vias;Curva;Rotatória;Viaduto;Declive";"Curva;Declive;Interseção de Vias;Retorno Regulamentado;Rotatória;Viaduto"
"Interseção de Vias;Declive;Rotatória;Curva";"Curva;Declive;Interseção de Vias;Rotatória"
"Curva;Rotatória;Interseção de Vias;Declive";"Curva;Declive;Interseção de Vias;Rotatória"
"Interseção de Vias;Rotatória;Declive;Curva";"Curva;Declive;Interseção de Vias;Rotatória"
"Curva;Rotatória;Declive;Interseção de Vias";"Curva;Declive;Interseção de Vias;Rotatória"
"Rotatória;Interseção de Vias;Declive;Curva";"Curva;Declive;Interseção de Vias;Rotatória"
"Declive;Interseção de Vias;Viaduto;Curva";"Curva;Declive;Interseção de Vias;Viaduto"
"Curva;Interseção de Vias;Viaduto;Declive";"Curva;Declive;Interseção de Vias;Viaduto"
"Curva;Viaduto;Declive;Interseção de Vias";"Curva;Declive;Interseção de Vias;Viaduto"
"Declive;Curva;Interseção de Vias;Viaduto";"Curva;Declive;Interseção de Vias;Viaduto"
"Curva;Declive;Interseção de Vias;Viaduto";"Curva;Declive;Interseção de Vias;Viaduto"
"Declive;Ponte;Curva";"Curva;Declive;Ponte"
"Ponte;Declive;Curva";"Curva;Declive;Ponte"
"Ponte;Curva;Declive";"Curva;Declive;Ponte"
"Curva;Ponte;Declive";"Curva;Declive;Ponte"
"Declive;Curva;Ponte";"Curva;Declive;Ponte"
"Retorno Regulamentado;Curva;Declive";"Curva;Declive;Retorno Regulamentado"
"Retorno Regulamentado;Declive;Curva";"Curva;Declive;Retorno Regulamentado"
"Curva;Retorno Regulamentado;Declive";"Curva;Declive;Retorno Regulamentado"
"Declive;Curva;Retorno Regulamentado";"Curva;Declive;Retorno Regulamentado"
"Curva;Declive;Retorno Regulamentado";"Curva;Declive;Retorno Regulamentado"
"Declive;Retorno Regulamentado;Curva";"Curva;Declive;Retorno Regulamentado"
"Rotatória;Retorno Regulamentado;Declive;Viaduto;Curva";"Curva;Declive;Retorno Regulamentado;Rotatória;Viaduto"
"Viaduto;Curva;Retorno Regulamentado;Declive";"Curva;Declive;Retorno Regulamentado;Viaduto"
"Declive;Curva;Rotatória";"Curva;Declive;Rotatória"
"Declive;Rotatória;Curva";"Curva;Declive;Rotatória"
"Curva;Declive;Rotatória";"Curva;Declive;Rotatória"
"Túnel;Declive;Curva";"Curva;Declive;Túnel"
"Declive;Viaduto;Curva";"Curva;Declive;Viaduto"
"Declive;Curva;Viaduto";"Curva;Declive;Viaduto"
"Curva;Declive;Viaduto";"Curva;Declive;Viaduto"
"Viaduto;Curva;Declive";"Curva;Declive;Viaduto"
"Curva;Viaduto;Declive";"Curva;Declive;Viaduto"
"Viaduto;Declive;Curva";"Curva;Declive;Viaduto"
"Desvio Temporário;Curva";"Curva;Desvio Temporário"
"Curva;Desvio Temporário";"Curva;Desvio Temporário"
"Em Obras;Desvio Temporário;Curva";"Curva;Desvio Temporário;Em Obras"
"Em Obras;Curva;Desvio Temporário";"Curva;Desvio Temporário;Em Obras"
"Curva;Desvio Temporário;Em Obras";"Curva;Desvio Temporário;Em Obras"
"Curva;Em Obras;Desvio Temporário";"Curva;Desvio Temporário;Em Obras"
"Desvio Temporário;Em Obras;Curva";"Curva;Desvio Temporário;Em Obras"
"Desvio Temporário;Curva;Em Obras";"Curva;Desvio Temporário;Em Obras"
"Interseção de Vias;Curva;Desvio Temporário;Em Obras";"Curva;Desvio Temporário;Em Obras;Interseção de Vias"
"Desvio Temporário;Interseção de Vias;Curva;Em Obras";"Curva;Desvio Temporário;Em Obras;Interseção de Vias"
"Curva;Interseção de Vias;Em Obras;Desvio Temporário";"Curva;Desvio Temporário;Em Obras;Interseção de Vias"
"Desvio Temporário;Interseção de Vias;Curva";"Curva;Desvio Temporário;Interseção de Vias"
"Em Obras;Curva";"Curva;Em Obras"
"Curva;Em Obras";"Curva;Em Obras"
"Curva;Interseção de Vias;Em Obras";"Curva;Em Obras;Interseção de Vias"
"Em Obras;Curva;Interseção de Vias";"Curva;Em Obras;Interseção de Vias"
"Interseção de Vias;Em Obras;Curva";"Curva;Em Obras;Interseção de Vias"
"Interseção de Vias;Retorno Regulamentado;Em Obras;Curva";"Curva;Em Obras;Interseção de Vias;Retorno Regulamentado"
"Em Obras;Ponte;Curva";"Curva;Em Obras;Ponte"
"Em Obras;Retorno Regulamentado;Curva";"Curva;Em Obras;Retorno Regulamentado"
"Curva;Rotatória;Em Obras";"Curva;Em Obras;Rotatória"
"Em Obras;Curva;Rotatória";"Curva;Em Obras;Rotatória"
"Curva;Viaduto;Em Obras";"Curva;Em Obras;Viaduto"
"Interseção de Vias;Curva";"Curva;Interseção de Vias"
"Curva;Interseção de Vias";"Curva;Interseção de Vias"
"Interseção de Vias;Ponte;Curva";"Curva;Interseção de Vias;Ponte"
"Interseção de Vias;Retorno Regulamentado;Curva";"Curva;Interseção de Vias;Retorno Regulamentado"
"Retorno Regulamentado;Interseção de Vias;Curva";"Curva;Interseção de Vias;Retorno Regulamentado"
"Curva;Retorno Regulamentado;Interseção de Vias";"Curva;Interseção de Vias;Retorno Regulamentado"
"Interseção de Vias;Curva;Retorno Regulamentado";"Curva;Interseção de Vias;Retorno Regulamentado"
"Retorno Regulamentado;Curva;Interseção de Vias";"Curva;Interseção de Vias;Retorno Regulamentado"
"Curva;Interseção de Vias;Retorno Regulamentado";"Curva;Interseção de Vias;Retorno Regulamentado"
"Retorno Regulamentado;Curva;Rotatória;Interseção de Vias";"Curva;Interseção de Vias;Retorno Regulamentado;Rotatória"
"Interseção de Vias;Rotatória;Retorno Regulamentado;Curva";"Curva;Interseção de Vias;Retorno Regulamentado;Rotatória"
"Retorno Regulamentado;Interseção de Vias;Viaduto;Curva";"Curva;Interseção de Vias;Retorno Regulamentado;Viaduto"
"Interseção de Vias;Viaduto;Retorno Regulamentado;Curva";"Curva;Interseção de Vias;Retorno Regulamentado;Viaduto"
"Interseção de Vias;Rotatória;Curva";"Curva;Interseção de Vias;Rotatória"
"Rotatória;Interseção de Vias;Curva";"Curva;Interseção de Vias;Rotatória"
"Rotatória;Curva;Interseção de Vias";"Curva;Interseção de Vias;Rotatória"
"Curva;Rotatória;Interseção de Vias";"Curva;Interseção de Vias;Rotatória"
"Curva;Interseção de Vias;Rotatória";"Curva;Interseção de Vias;Rotatória"
"Interseção de Vias;Curva;Rotatória";"Curva;Interseção de Vias;Rotatória"
"Curva;Rotatória;Interseção de Vias;Viaduto";"Curva;Interseção de Vias;Rotatória;Viaduto"
"Interseção de Vias;Curva;Rotatória;Viaduto";"Curva;Interseção de Vias;Rotatória;Viaduto"
"Interseção de Vias;Viaduto;Rotatória;Curva";"Curva;Interseção de Vias;Rotatória;Viaduto"
"Interseção de Vias;Túnel;Curva";"Curva;Interseção de Vias;Túnel"
"Viaduto;Curva;Interseção de Vias";"Curva;Interseção de Vias;Viaduto"
"Viaduto;Interseção de Vias;Curva";"Curva;Interseção de Vias;Viaduto"
"Curva;Viaduto;Interseção de Vias";"Curva;Interseção de Vias;Viaduto"
"Interseção de Vias;Viaduto;Curva";"Curva;Interseção de Vias;Viaduto"
"Interseção de Vias;Curva;Viaduto";"Curva;Interseção de Vias;Viaduto"
"Curva;Interseção de Vias;Viaduto";"Curva;Interseção de Vias;Viaduto"
"Ponte;Curva";"Curva;Ponte"
"Curva;Ponte";"Curva;Ponte"
"Viaduto;Curva;Ponte";"Curva;Ponte;Viaduto"
"Curva;Retorno Regulamentado";"Curva;Retorno Regulamentado"
"Retorno Regulamentado;Curva";"Curva;Retorno Regulamentado"
"Retorno Regulamentado;Rotatória;Curva";"Curva;Retorno Regulamentado;Rotatória"
"Rotatória;Retorno Regulamentado;Curva";"Curva;Retorno Regulamentado;Rotatória"
"Retorno Regulamentado;Curva;Rotatória";"Curva;Retorno Regulamentado;Rotatória"
