id;descricao;severidade;status;linhas_avaliadas;violacoes;pct_violacoes;exemplos;detalhe
C10-regional;'regional' aceita ausencia (politica do contrato).;informativo;PASSOU;72529;2;0.002758;;2 celulas vazias, permitidas
C11-regional;'regional' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C10-delegacia;'delegacia' aceita ausencia (politica do contrato).;informativo;PASSOU;72529;22;0.030333;;22 celulas vazias, permitidas
C11-delegacia;'delegacia' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C10-uop;'uop' aceita ausencia (politica do contrato).;informativo;PASSOU;72529;38;0.052393;;38 celulas vazias, permitidas
C11-uop;'uop' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C10-ano;'ano' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-ano;'ano' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C30-ano;'ano' e inteiro, sem parte fracionaria.;critico;PASSOU;72529;0;0.0;;valores como '3,0' ou '3.0' sao violacao
C40-ano;'ano' dentro de [2017, 2100].;critico;PASSOU;72529;0;0.0;;
C10-mes;'mes' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-mes;'mes' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C30-mes;'mes' e inteiro, sem parte fracionaria.;critico;PASSOU;72529;0;0.0;;valores como '3,0' ou '3.0' sao violacao
C40-mes;'mes' dentro de [1, 12].;critico;PASSOU;72529;0;0.0;;
C10-mes_nome;'mes_nome' nao pode ficar vazia.;aviso;PASSOU;72529;0;0.0;;
C11-mes_nome;'mes_nome' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C50-mes_nome;'mes_nome' usa apenas as categorias do contrato.;aviso;PASSOU;72529;0;0.0;;"origem da regra: derivado; dominio: ['Janeiro', 'Fevereiro', 'Março', 'Abril', 'Maio', 'Junho', 'Julho', 'Agosto', 'Setembro', 'Outubro', 'Novembro', 'Dezembro']"
C10-hora;'hora' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-hora;'hora' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C30-hora;'hora' e inteiro, sem parte fracionaria.;critico;PASSOU;72529;0;0.0;;valores como '3,0' ou '3.0' sao violacao
C40-hora;'hora' dentro de [0, 23].;critico;PASSOU;72529;0;0.0;;
C10-faixa_horaria;'faixa_horaria' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-faixa_horaria;'faixa_horaria' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C50-faixa_horaria;'faixa_horaria' usa apenas as categorias do contrato.;critico;PASSOU;72529;0;0.0;;"origem da regra: derivado; dominio: ['Madrugada', 'Manhã', 'Tarde', 'Noite']"
C10-fim_de_semana;'fim_de_semana' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-fim_de_semana;'fim_de_semana' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C50-fim_de_semana;'fim_de_semana' usa apenas as categorias do contrato.;critico;PASSOU;72529;0;0.0;;"origem da regra: derivado; dominio: ['Sim', 'Não']"
C10-dia_semana_calculado;'dia_semana_calculado' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-dia_semana_calculado;'dia_semana_calculado' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C50-dia_semana_calculado;'dia_semana_calculado' usa apenas as categorias do contrato.;critico;PASSOU;72529;0;0.0;;"origem da regra: derivado; dominio: ['Domingo', 'Segunda-feira', 'Terça-feira', 'Quarta-feira', 'Quinta-feira', 'Sexta-feira', 'Sábado']"
C10-dia_semana_divergente;'dia_semana_divergente' nao pode ficar vazia.;aviso;PASSOU;72529;0;0.0;;
C11-dia_semana_divergente;'dia_semana_divergente' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C50-dia_semana_divergente;'dia_semana_divergente' usa apenas as categorias do contrato.;aviso;PASSOU;72529;0;0.0;;"origem da regra: derivado; dominio: ['Sim', 'Não']"
C10-qtd_pessoas;'qtd_pessoas' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-qtd_pessoas;'qtd_pessoas' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C30-qtd_pessoas;'qtd_pessoas' e inteiro, sem parte fracionaria.;critico;PASSOU;72529;0;0.0;;valores como '3,0' ou '3.0' sao violacao
C40-qtd_pessoas;'qtd_pessoas' dentro de [1, None].;critico;PASSOU;72529;0;0.0;;
C10-qtd_ilesos;'qtd_ilesos' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-qtd_ilesos;'qtd_ilesos' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C30-qtd_ilesos;'qtd_ilesos' e inteiro, sem parte fracionaria.;critico;PASSOU;72529;0;0.0;;valores como '3,0' ou '3.0' sao violacao
C40-qtd_ilesos;'qtd_ilesos' dentro de [0, None].;critico;PASSOU;72529;0;0.0;;
C10-qtd_feridos_leves;'qtd_feridos_leves' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-qtd_feridos_leves;'qtd_feridos_leves' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C30-qtd_feridos_leves;'qtd_feridos_leves' e inteiro, sem parte fracionaria.;critico;PASSOU;72529;0;0.0;;valores como '3,0' ou '3.0' sao violacao
C40-qtd_feridos_leves;'qtd_feridos_leves' dentro de [0, None].;critico;PASSOU;72529;0;0.0;;
C10-qtd_feridos_graves;'qtd_feridos_graves' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
